File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/798.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_66
Injection Number	66
Position	RF5
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	10:17:34
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.279533
Signal Max.	20.640003
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.037333	0.25	-103.268771
1.041500	0.25	-104.142222
1.045667	0.25	-104.976695
1.049833	0.25	-105.743413
1.054000	0.25	-106.417873
1.058167	0.25	-106.986845
1.062333	0.25	-107.429994
1.066500	0.25	-107.773030
1.070667	0.25	-108.054389
1.074833	0.25	-108.268598
1.079000	0.25	-108.460090
1.083167	0.25	-108.633311
1.087333	0.25	-108.802347
1.091500	0.25	-108.964349
1.095667	0.25	-109.132799
1.099833	0.25	-109.306866
1.104000	0.25	-109.491218
1.108167	0.25	-109.663444
1.112333	0.25	-109.832070
1.116500	0.25	-109.996814
1.120667	0.25	-110.148966
1.124833	0.25	-110.286729
1.129000	0.25	-110.395075
1.133167	0.25	-110.493647
1.137333	0.25	-110.568572
1.141500	0.25	-110.617750
1.145667	0.25	-110.654059
1.149833	0.25	-110.686182
1.154000	0.25	-110.710170
1.158167	0.25	-110.715030
1.162333	0.25	-110.745606
1.166500	0.25	-110.770161
1.170667	0.25	-110.796149
1.174833	0.25	-110.824675
1.179000	0.25	-110.851487
1.183167	0.25	-110.889073
1.187333	0.25	-110.916842
1.191500	0.25	-110.942555
1.195667	0.25	-110.961123
1.199833	0.25	-110.981107
1.204000	0.25	-110.988176
1.208167	0.25	-110.982873
1.212333	0.25	-110.976224
1.216500	0.25	-110.968665
1.220667	0.25	-110.952731
1.224833	0.25	-110.931165
1.229000	0.25	-110.921599
1.233167	0.25	-110.895603
1.237333	0.25	-110.881685
1.241500	0.25	-110.852849
1.245667	0.25	-110.836293
1.249833	0.25	-110.794394
1.254000	0.25	-110.712654
1.258167	0.25	-110.582216
1.262333	0.25	-110.391641
1.266500	0.25	-110.125940
1.270667	0.25	-109.796566
1.274833	0.25	-109.403346
1.279000	0.25	-108.991611
1.283167	0.25	-108.591484
1.287333	0.25	-108.224326
1.291500	0.25	-107.922128
1.295667	0.25	-107.690736
1.299833	0.25	-107.565943
1.304000	0.25	-107.513753
1.308167	0.25	-107.543614
1.312333	0.25	-107.652979
1.316500	0.25	-107.814509
1.320667	0.25	-108.027723
1.324833	0.25	-108.281303
1.329000	0.25	-108.545424
1.333167	0.25	-108.833254
1.337333	0.25	-109.096293
1.341500	0.25	-109.355592
1.345667	0.25	-109.603583
1.349833	0.25	-109.839713
1.354000	0.25	-110.055697
1.358167	0.25	-110.234050
1.362333	0.25	-110.391095
1.366500	0.25	-110.529351
1.370667	0.25	-110.640022
1.374833	0.25	-110.726962
1.379000	0.25	-110.792073
1.383167	0.25	-110.842607
1.387333	0.25	-110.876586
1.391500	0.25	-110.895471
1.395667	0.25	-110.918840
1.399833	0.25	-110.931124
1.404000	0.25	-110.944837
1.408167	0.25	-110.959886
1.412333	0.25	-110.996499
1.416500	0.25	-111.009302
1.420667	0.25	-111.024815
1.424833	0.25	-111.040308
1.429000	0.25	-111.073954
1.433167	0.25	-111.100304
1.437333	0.25	-111.121806
1.441500	0.25	-111.133268
1.445667	0.25	-111.148628
1.449833	0.25	-111.164139
1.454000	0.25	-111.182463
1.458167	0.25	-111.190016
1.462333	0.25	-111.202683
1.466500	0.25	-111.207603
1.470667	0.25	-111.223666
1.474833	0.25	-111.236639
1.479000	0.25	-111.245361
1.483167	0.25	-111.256969
1.487333	0.25	-111.266020
1.491500	0.25	-111.280328
1.495667	0.25	-111.293081
1.499833	0.25	-111.307485
1.504000	0.25	-111.307295
1.508167	0.25	-111.320621
1.512333	0.25	-111.321639
1.516500	0.25	-111.334318
1.520667	0.25	-111.336580
1.524833	0.25	-111.335641
1.529000	0.25	-111.331040
1.533167	0.25	-111.329942
1.537333	0.25	-111.323932
1.541500	0.25	-111.315938
1.545667	0.25	-111.321179
1.549833	0.25	-111.319711
1.554000	0.25	-111.311301
1.558167	0.25	-111.312904
1.562333	0.25	-111.309118
1.566500	0.25	-111.307587
1.570667	0.25	-111.313679
1.574833	0.25	-111.324063
1.579000	0.25	-111.335505
1.583167	0.25	-111.320892
1.587333	0.25	-111.321410
1.591500	0.25	-111.310283
1.595667	0.25	-111.301203
1.599833	0.25	-111.268108
1.604000	0.25	-111.209176
1.608167	0.25	-111.096500
1.612333	0.25	-110.871222
1.616500	0.25	-110.429620
1.620667	0.25	-109.621273
1.624833	0.25	-108.192479
1.629000	0.25	-105.802651
1.633167	0.25	-102.114221
1.637333	0.25	-96.795021
1.641500	0.25	-89.634075
1.645667	0.25	-80.603788
1.649833	0.25	-69.831894
1.654000	0.25	-57.650291
1.658167	0.25	-44.539008
1.662333	0.25	-31.126594
1.666500	0.25	-18.117046
1.670667	0.25	-6.182588
1.674833	0.25	4.032250
1.679000	0.25	12.059966
1.683167	0.25	17.567986
1.687333	0.25	20.411665
1.691500	0.25	20.640003
1.695667	0.25	18.447972
1.699833	0.25	14.137441
1.704000	0.25	8.082589
1.708167	0.25	0.724488
1.712333	0.25	-7.565176
1.716500	0.25	-16.376155
1.720667	0.25	-25.357511
1.724833	0.25	-34.250884
1.729000	0.25	-42.806236
1.733167	0.25	-50.881478
1.737333	0.25	-58.354006
1.741500	0.25	-65.156063
1.745667	0.25	-71.266290
1.749833	0.25	-76.692036
1.754000	0.25	-81.464039
1.758167	0.25	-85.623515
1.762333	0.25	-89.226489
1.766500	0.25	-92.338940
1.770667	0.25	-94.992518
1.774833	0.25	-97.303898
1.779000	0.25	-99.254177
1.783167	0.25	-100.940236
1.787333	0.25	-102.370066
1.791500	0.25	-103.603378
1.795667	0.25	-104.644888
1.799833	0.25	-105.528667
1.804000	0.25	-106.290128
1.808167	0.25	-106.928577
1.812333	0.25	-107.466425
1.816500	0.25	-107.935313
1.820667	0.25	-108.320242
1.824833	0.25	-108.651155
1.829000	0.25	-108.914096
1.833167	0.25	-109.154734
1.837333	0.25	-109.367670
1.841500	0.25	-109.531463
1.845667	0.25	-109.690129
1.849833	0.25	-109.819450
1.854000	0.25	-109.929492
1.858167	0.25	-110.043756
1.862333	0.25	-110.141922
1.866500	0.25	-110.215561
1.870667	0.25	-110.299712
1.874833	0.25	-110.373497
1.879000	0.25	-110.461810
1.883167	0.25	-110.517986
1.887333	0.25	-110.584011
1.891500	0.25	-110.643978
1.895667	0.25	-110.699817
1.899833	0.25	-110.762286
1.904000	0.25	-110.809510
1.908167	0.25	-110.853857
1.912333	0.25	-110.897905
1.916500	0.25	-110.947008
1.920667	0.25	-110.972833
1.924833	0.25	-111.011755
1.929000	0.25	-111.046018
1.933167	0.25	-111.084612
1.937333	0.25	-111.112662
1.941500	0.25	-111.143956
1.945667	0.25	-111.143949
1.949833	0.25	-111.177580
1.954000	0.25	-111.191795
1.958167	0.25	-111.213730
1.962333	0.25	-111.236410
1.966500	0.25	-111.243248
1.970667	0.25	-111.253646
1.974833	0.25	-111.265067
1.979000	0.25	-111.267744
1.983167	0.25	-111.284407
1.987333	0.25	-111.290916
1.991500	0.25	-111.294693
1.995667	0.25	-111.306841
1.999833	0.25	-111.313746
2.004000	0.25	-111.321398
2.008167	0.25	-111.335667
2.012333	0.25	-111.337401
2.016500	0.25	-111.343865
2.020667	0.25	-111.348319
2.024833	0.25	-111.367943
2.029000	0.25	-111.363963
2.033167	0.25	-111.386772
2.037333	0.25	-111.387687
2.041500	0.25	-111.393778
2.045667	0.25	-111.397873
2.049833	0.25	-111.410120
2.054000	0.25	-111.411556
2.058167	0.25	-111.413386
2.062333	0.25	-111.404842
2.066500	0.25	-111.403565
2.070667	0.25	-111.413500
2.074833	0.25	-111.417469
2.079000	0.25	-111.416297
2.083167	0.25	-111.406320
2.087333	0.25	-111.411448
2.091500	0.25	-111.405037
2.095667	0.25	-111.390603
2.099833	0.25	-111.390695
2.104000	0.25	-111.392132
2.108167	0.25	-111.375058
2.112333	0.25	-111.381622
2.116500	0.25	-111.375919
2.120667	0.25	-111.365421
2.124833	0.25	-111.355288
2.129000	0.25	-111.350455
2.133167	0.25	-111.341727
2.137333	0.25	-111.338795
2.141500	0.25	-111.336226
2.145667	0.25	-111.324022
2.149833	0.25	-111.318450
2.154000	0.25	-111.336558
2.158167	0.25	-111.332091
2.162333	0.25	-111.337284
2.166500	0.25	-111.331923
2.170667	0.25	-111.337902
2.174833	0.25	-111.356365
2.179000	0.25	-111.355686
2.183167	0.25	-111.361031
2.187333	0.25	-111.366998
2.191500	0.25	-111.375165
2.195667	0.25	-111.380246
2.199833	0.25	-111.383922
2.204000	0.25	-111.390621
2.208167	0.25	-111.397313
2.212333	0.25	-111.408077
2.216500	0.25	-111.406941
2.220667	0.25	-111.417736
2.224833	0.25	-111.408864
2.229000	0.25	-111.425780
2.233167	0.25	-111.425047
2.237333	0.25	-111.429854
2.241500	0.25	-111.426234
2.245667	0.25	-111.435361
2.249833	0.25	-111.425050
2.254000	0.25	-111.425447
2.258167	0.25	-111.428039
2.262333	0.25	-111.438445
2.266500	0.25	-111.436133
2.270667	0.25	-111.427481
2.274833	0.25	-111.420709
2.279000	0.25	-111.421951
2.283167	0.25	-111.425178
2.287333	0.25	-111.436950
2.291500	0.25	-111.431221
2.295667	0.25	-111.424209
2.299833	0.25	-111.429114
2.304000	0.25	-111.429840
2.308167	0.25	-111.420751
2.312333	0.25	-111.409257
2.316500	0.25	-111.412599
2.320667	0.25	-111.406080
2.324833	0.25	-111.408349
2.329000	0.25	-111.414799
2.333167	0.25	-111.408748
2.337333	0.25	-111.413674
2.341500	0.25	-111.408739
2.345667	0.25	-111.403901
2.349833	0.25	-111.401610
2.354000	0.25	-111.402847
2.358167	0.25	-111.406104
2.362333	0.25	-111.399553
2.366500	0.25	-111.403962
2.370667	0.25	-111.379524
2.374833	0.25	-111.375221
2.379000	0.25	-111.378058
2.383167	0.25	-111.363890
2.387333	0.25	-111.340411
2.391500	0.25	-111.319160
2.395667	0.25	-111.284847
2.399833	0.25	-111.252430
2.404000	0.25	-111.203171
2.408167	0.25	-111.141409
2.412333	0.25	-111.075808
2.416500	0.25	-111.021011
2.420667	0.25	-110.958219
2.424833	0.25	-110.878127
2.429000	0.25	-110.806701
2.433167	0.25	-110.756041
2.437333	0.25	-110.693207
2.441500	0.25	-110.640407
2.445667	0.25	-110.610233
2.449833	0.25	-110.579401
2.454000	0.25	-110.564463
2.458167	0.25	-110.573040
2.462333	0.25	-110.590624
2.466500	0.25	-110.621323
2.470667	0.25	-110.653679
2.474833	0.25	-110.699421
2.479000	0.25	-110.752502
2.483167	0.25	-110.795453
2.487333	0.25	-110.842147
2.491500	0.25	-110.909456
2.495667	0.25	-110.954562
2.499833	0.25	-111.002009
2.504000	0.25	-111.047010
2.508167	0.25	-111.081654
2.512333	0.25	-111.108598
2.516500	0.25	-111.139802
2.520667	0.25	-111.166181
2.524833	0.25	-111.189380
2.529000	0.25	-111.197378
2.533167	0.25	-111.208448
2.537333	0.25	-111.209705
2.541500	0.25	-111.224673
2.545667	0.25	-111.211340
2.549833	0.25	-111.224707
2.554000	0.25	-111.220887
2.558167	0.25	-111.223047
2.562333	0.25	-111.215626
2.566500	0.25	-111.215824
2.570667	0.25	-111.212889
2.574833	0.25	-111.209077
2.579000	0.25	-111.215351
2.583167	0.25	-111.207760
2.587333	0.25	-111.203320
2.591500	0.25	-111.215688
2.595667	0.25	-111.212015
2.599833	0.25	-111.207280
2.604000	0.25	-111.197027
2.608167	0.25	-111.179972
2.612333	0.25	-111.161812
2.616500	0.25	-111.134382
2.620667	0.25	-111.103610
2.624833	0.25	-111.050718
2.629000	0.25	-110.985161
2.633167	0.25	-110.899247
2.637333	0.25	-110.809810
2.641500	0.25	-110.693054
2.645667	0.25	-110.561784
2.649833	0.25	-110.402469
2.654000	0.25	-110.228487
2.658167	0.25	-110.056477
2.662333	0.25	-109.862897
2.666500	0.25	-109.659443
2.670667	0.25	-109.467307
2.674833	0.25	-109.274839
2.679000	0.25	-109.099783
2.683167	0.25	-108.931155
2.687333	0.25	-108.796968
2.691500	0.25	-108.680568
2.695667	0.25	-108.601039
2.699833	0.25	-108.554185
2.704000	0.25	-108.556411
2.708167	0.25	-108.575255
2.712333	0.25	-108.636655
2.716500	0.25	-108.721480
2.720667	0.25	-108.843014
2.724833	0.25	-108.985957
2.729000	0.25	-109.139365
2.733167	0.25	-109.290921
2.737333	0.25	-109.479481
2.741500	0.25	-109.639144
2.745667	0.25	-109.810153
2.749833	0.25	-109.989280
2.754000	0.25	-110.146818
2.758167	0.25	-110.290512
2.762333	0.25	-110.422956
2.766500	0.25	-110.538277
2.770667	0.25	-110.642357
2.774833	0.25	-110.734957
2.779000	0.25	-110.814529
2.783167	0.25	-110.875255
2.787333	0.25	-110.930399
2.791500	0.25	-110.954800
2.795667	0.25	-110.973376
2.799833	0.25	-110.981675
2.804000	0.25	-110.959001
2.808167	0.25	-110.916057
2.812333	0.25	-110.849894
2.816500	0.25	-110.751614
2.820667	0.25	-110.625998
2.824833	0.25	-110.454377
2.829000	0.25	-110.239796
2.833167	0.25	-109.974278
2.837333	0.25	-109.662954
2.841500	0.25	-109.280259
2.845667	0.25	-108.859793
2.849833	0.25	-108.382261
2.854000	0.25	-107.858072
2.858167	0.25	-107.286128
2.862333	0.25	-106.682129
2.866500	0.25	-106.061421
2.870667	0.25	-105.421962
2.874833	0.25	-104.773515
2.879000	0.25	-104.156826
2.883167	0.25	-103.551764
2.887333	0.25	-102.998563
2.891500	0.25	-102.508560
2.895667	0.25	-102.084600
2.899833	0.25	-101.741915
2.904000	0.25	-101.477997
2.908167	0.25	-101.318519
2.912333	0.25	-101.251884
2.916500	0.25	-101.282783
2.920667	0.25	-101.422038
2.924833	0.25	-101.632599
2.929000	0.25	-101.929317
2.933167	0.25	-102.303403
2.937333	0.25	-102.728613
2.941500	0.25	-103.188336
2.945667	0.25	-103.688636
2.949833	0.25	-104.199917
2.954000	0.25	-104.727183
2.958167	0.25	-105.247366
2.962333	0.25	-105.748392
2.966500	0.25	-106.232550
2.970667	0.25	-106.681417
2.974833	0.25	-107.096581
2.979000	0.25	-107.489775
2.983167	0.25	-107.831146
2.987333	0.25	-108.152213
2.991500	0.25	-108.420143
2.995667	0.25	-108.648118
2.999833	0.25	-108.848915
3.004000	0.25	-109.031717
3.008167	0.25	-109.163883
3.012333	0.25	-109.302860
3.016500	0.25	-109.403635
3.020667	0.25	-109.498559
3.024833	0.25	-109.575341
3.029000	0.25	-109.634550
3.033167	0.25	-109.702713
3.037333	0.25	-109.760594
3.041500	0.25	-109.820331
3.045667	0.25	-109.871534
3.049833	0.25	-109.926747
3.054000	0.25	-109.982430
3.058167	0.25	-110.050330
3.062333	0.25	-110.112636
3.066500	0.25	-110.175897
3.070667	0.25	-110.243830
3.074833	0.25	-110.314768
3.079000	0.25	-110.383911
3.083167	0.25	-110.454094
3.087333	0.25	-110.531698
3.091500	0.25	-110.603020
3.095667	0.25	-110.657734
3.099833	0.25	-110.736854
3.104000	0.25	-110.802576
3.108167	0.25	-110.852843
3.112333	0.25	-110.909335
3.116500	0.25	-110.955617
3.120667	0.25	-111.017902
3.124833	0.25	-111.052238
3.129000	0.25	-111.100683
3.133167	0.25	-111.142658
3.137333	0.25	-111.169962
3.141500	0.25	-111.200156
3.145667	0.25	-111.225590
3.149833	0.25	-111.245772
3.154000	0.25	-111.274834
3.158167	0.25	-111.299688
3.162333	0.25	-111.321991
3.166500	0.25	-111.329732
3.170667	0.25	-111.340225
3.174833	0.25	-111.361127
3.179000	0.25	-111.364549
3.183167	0.25	-111.367606
3.187333	0.25	-111.375689
3.191500	0.25	-111.382319
3.195667	0.25	-111.402270
3.199833	0.25	-111.404654
3.204000	0.25	-111.411476
3.208167	0.25	-111.407819
3.212333	0.25	-111.408510
3.216500	0.25	-111.409300
3.220667	0.25	-111.410528
3.224833	0.25	-111.421704
3.229000	0.25	-111.409742
3.233167	0.25	-111.410185
3.237333	0.25	-111.415296
3.241500	0.25	-111.409339
3.245667	0.25	-111.408758
3.249833	0.25	-111.417348
3.254000	0.25	-111.409454
3.258167	0.25	-111.415085
3.262333	0.25	-111.421386
3.266500	0.25	-111.409549
3.270667	0.25	-111.403417
3.274833	0.25	-111.405056
3.279000	0.25	-111.403304
3.283167	0.25	-111.410524
3.287333	0.25	-111.410506
3.291500	0.25	-111.404620
3.295667	0.25	-111.407572
3.299833	0.25	-111.413852
3.304000	0.25	-111.412980
3.308167	0.25	-111.426459
3.312333	0.25	-111.410464
3.316500	0.25	-111.409448
3.320667	0.25	-111.413622
3.324833	0.25	-111.415061
3.329000	0.25	-111.422444
3.333167	0.25	-111.431922
3.337333	0.25	-111.424686
3.341500	0.25	-111.430736
3.345667	0.25	-111.436939
3.349833	0.25	-111.430643
3.354000	0.25	-111.438438
3.358167	0.25	-111.430650
3.362333	0.25	-111.444323
3.366500	0.25	-111.451601
3.370667	0.25	-111.457557
3.374833	0.25	-111.453899
3.379000	0.25	-111.451519
3.383167	0.25	-111.453573
3.387333	0.25	-111.468898
3.391500	0.25	-111.468427
3.395667	0.25	-111.470508
3.399833	0.25	-111.476000
3.404000	0.25	-111.484526
3.408167	0.25	-111.471591
3.412333	0.25	-111.476098
3.416500	0.25	-111.478841
3.420667	0.25	-111.472355
3.424833	0.25	-111.477099
3.429000	0.25	-111.497295
3.433167	0.25	-111.483947
3.437333	0.25	-111.495251
