File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.849833	0.25	-110.733539
0.854000	0.25	-110.855817
0.858167	0.25	-110.994226
0.862333	0.25	-111.121104
0.866500	0.25	-111.236416
0.870667	0.25	-111.324119
0.874833	0.25	-111.423184
0.879000	0.25	-111.483241
0.883167	0.25	-111.522836
0.887333	0.25	-111.524519
0.891500	0.25	-111.492561
0.895667	0.25	-111.434172
0.899833	0.25	-111.361813
0.904000	0.25	-111.277979
0.908167	0.25	-111.224185
0.912333	0.25	-111.204158
0.916500	0.25	-111.229842
0.920667	0.25	-111.306432
0.924833	0.25	-111.408022
0.929000	0.25	-111.522269
0.933167	0.25	-111.655952
0.937333	0.25	-111.767985
0.941500	0.25	-111.883191
0.945667	0.25	-111.959502
0.949833	0.25	-112.025384
0.954000	0.25	-112.078293
0.958167	0.25	-112.122545
0.962333	0.25	-112.152561
0.966500	0.25	-112.150302
0.970667	0.25	-112.087182
0.974833	0.25	-111.880137
0.979000	0.25	-111.468709
0.983167	0.25	-110.771100
0.987333	0.25	-109.762059
0.991500	0.25	-108.463599
0.995667	0.25	-107.008411
0.999833	0.25	-105.512687
1.004000	0.25	-104.158866
1.008167	0.25	-103.036970
1.012333	0.25	-102.252346
1.016500	0.25	-101.838342
1.020667	0.25	-101.788859
1.024833	0.25	-102.052333
1.029000	0.25	-102.575087
1.033167	0.25	-103.281521
1.037333	0.25	-104.096168
1.041500	0.25	-104.954146
1.045667	0.25	-105.813178
1.049833	0.25	-106.620487
1.054000	0.25	-107.352804
1.058167	0.25	-107.972138
1.062333	0.25	-108.482734
1.066500	0.25	-108.900042
1.070667	0.25	-109.215637
1.074833	0.25	-109.472985
1.079000	0.25	-109.689558
1.083167	0.25	-109.877809
1.087333	0.25	-110.038699
1.091500	0.25	-110.190164
1.095667	0.25	-110.350108
1.099833	0.25	-110.502992
1.104000	0.25	-110.658368
1.108167	0.25	-110.812537
1.112333	0.25	-110.953069
1.116500	0.25	-111.092750
1.120667	0.25	-111.228120
1.124833	0.25	-111.347153
1.129000	0.25	-111.464045
1.133167	0.25	-111.564718
1.137333	0.25	-111.648045
1.141500	0.25	-111.711097
1.145667	0.25	-111.771885
1.149833	0.25	-111.813338
1.154000	0.25	-111.849832
1.158167	0.25	-111.880378
1.162333	0.25	-111.908939
1.166500	0.25	-111.934465
1.170667	0.25	-111.953676
1.174833	0.25	-111.977107
1.179000	0.25	-111.997159
1.183167	0.25	-112.020035
1.187333	0.25	-112.051668
1.191500	0.25	-112.072366
1.195667	0.25	-112.082560
1.199833	0.25	-112.094762
1.204000	0.25	-112.101694
1.208167	0.25	-112.100005
1.212333	0.25	-112.093542
1.216500	0.25	-112.076302
1.220667	0.25	-112.055391
1.224833	0.25	-112.034804
1.229000	0.25	-112.011756
1.233167	0.25	-111.994042
1.237333	0.25	-111.963982
1.241500	0.25	-111.942729
1.245667	0.25	-111.924922
1.249833	0.25	-111.903459
1.254000	0.25	-111.885589
1.258167	0.25	-111.848962
1.262333	0.25	-111.783743
1.266500	0.25	-111.685139
1.270667	0.25	-111.540383
1.274833	0.25	-111.342439
1.279000	0.25	-111.118013
1.283167	0.25	-110.858563
1.287333	0.25	-110.597197
1.291500	0.25	-110.360355
1.295667	0.25	-110.162071
1.299833	0.25	-110.002684
1.304000	0.25	-109.908715
1.308167	0.25	-109.871205
1.312333	0.25	-109.875728
1.316500	0.25	-109.935491
1.320667	0.25	-110.029527
1.324833	0.25	-110.161997
1.329000	0.25	-110.315429
1.333167	0.25	-110.475072
1.337333	0.25	-110.648024
1.341500	0.25	-110.820598
1.345667	0.25	-110.989067
1.349833	0.25	-111.147098
1.354000	0.25	-111.302611
1.358167	0.25	-111.436877
1.362333	0.25	-111.568300
1.366500	0.25	-111.673068
1.370667	0.25	-111.760102
1.374833	0.25	-111.840761
1.379000	0.25	-111.900775
1.383167	0.25	-111.948467
1.387333	0.25	-111.981278
1.391500	0.25	-111.995830
1.395667	0.25	-112.016802
1.399833	0.25	-112.036027
1.404000	0.25	-112.046986
1.408167	0.25	-112.049831
1.412333	0.25	-112.078318
1.416500	0.25	-112.092058
1.420667	0.25	-112.096088
1.424833	0.25	-112.129724
1.429000	0.25	-112.147025
1.433167	0.25	-112.177464
1.437333	0.25	-112.181188
1.441500	0.25	-112.211900
1.445667	0.25	-112.222139
1.449833	0.25	-112.228970
1.454000	0.25	-112.234286
1.458167	0.25	-112.244212
1.462333	0.25	-112.256469
1.466500	0.25	-112.268363
1.470667	0.25	-112.266585
1.474833	0.25	-112.278567
1.479000	0.25	-112.286020
1.483167	0.25	-112.299248
1.487333	0.25	-112.307155
1.491500	0.25	-112.308760
1.495667	0.25	-112.318380
1.499833	0.25	-112.324364
1.504000	0.25	-112.335196
1.508167	0.25	-112.344332
1.512333	0.25	-112.353230
1.516500	0.25	-112.355092
1.520667	0.25	-112.356591
1.524833	0.25	-112.351857
1.529000	0.25	-112.359650
1.533167	0.25	-112.347817
1.537333	0.25	-112.355291
1.541500	0.25	-112.341370
1.545667	0.25	-112.334292
1.549833	0.25	-112.334332
1.554000	0.25	-112.327038
1.558167	0.25	-112.323498
1.562333	0.25	-112.328862
1.566500	0.25	-112.331517
1.570667	0.25	-112.335342
1.574833	0.25	-112.343548
1.579000	0.25	-112.336740
1.583167	0.25	-112.346827
1.587333	0.25	-112.362517
1.591500	0.25	-112.360967
1.595667	0.25	-112.357789
1.599833	0.25	-112.356138
1.604000	0.25	-112.351705
1.608167	0.25	-112.336926
1.612333	0.25	-112.285761
1.616500	0.25	-112.200005
1.620667	0.25	-112.031661
1.624833	0.25	-111.705540
1.629000	0.25	-111.108328
1.633167	0.25	-110.034391
1.637333	0.25	-108.195146
1.641500	0.25	-105.293645
1.645667	0.25	-100.972684
1.649833	0.25	-94.970183
1.654000	0.25	-87.127485
1.658167	0.25	-77.462410
1.662333	0.25	-66.206201
1.666500	0.25	-53.773756
1.670667	0.25	-40.715846
1.674833	0.25	-27.732967
1.679000	0.25	-15.534099
1.683167	0.25	-4.775586
1.687333	0.25	4.005746
1.691500	0.25	10.411990
1.695667	0.25	14.264758
1.699833	0.25	15.523708
1.704000	0.25	14.365687
1.708167	0.25	11.035431
1.712333	0.25	5.892721
1.716500	0.25	-0.690977
1.720667	0.25	-8.291283
1.724833	0.25	-16.549248
1.729000	0.25	-25.115334
1.733167	0.25	-33.685893
1.737333	0.25	-42.036189
1.741500	0.25	-49.996306
1.745667	0.25	-57.429862
1.749833	0.25	-64.272997
1.754000	0.25	-70.465578
1.758167	0.25	-76.022012
1.762333	0.25	-80.938264
1.766500	0.25	-85.275220
1.770667	0.25	-89.040957
1.774833	0.25	-92.321112
1.779000	0.25	-95.160315
1.783167	0.25	-97.591090
1.787333	0.25	-99.693402
1.791500	0.25	-101.484805
1.795667	0.25	-103.022035
1.799833	0.25	-104.336457
1.804000	0.25	-105.444779
1.808167	0.25	-106.388421
1.812333	0.25	-107.188304
1.816500	0.25	-107.872127
1.820667	0.25	-108.442501
1.824833	0.25	-108.916197
1.829000	0.25	-109.318952
1.833167	0.25	-109.656293
1.837333	0.25	-109.941760
1.841500	0.25	-110.177766
1.845667	0.25	-110.379341
1.849833	0.25	-110.561581
1.854000	0.25	-110.716245
1.858167	0.25	-110.851830
1.862333	0.25	-110.973027
