File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.974833	0.25	-110.979779
1.979000	0.25	-110.987443
1.983167	0.25	-110.997477
1.987333	0.25	-111.009898
1.991500	0.25	-111.016036
1.995667	0.25	-111.015284
1.999833	0.25	-111.018218
2.004000	0.25	-111.029829
2.008167	0.25	-111.027653
2.012333	0.25	-111.038884
2.016500	0.25	-111.044042
2.020667	0.25	-111.057280
2.024833	0.25	-111.061185
2.029000	0.25	-111.072273
2.033167	0.25	-111.072141
2.037333	0.25	-111.076919
2.041500	0.25	-111.086290
2.045667	0.25	-111.083886
2.049833	0.25	-111.081977
2.054000	0.25	-111.078823
2.058167	0.25	-111.097666
2.062333	0.25	-111.106612
2.066500	0.25	-111.097488
2.070667	0.25	-111.098579
2.074833	0.25	-111.097043
2.079000	0.25	-111.098666
2.083167	0.25	-111.098455
2.087333	0.25	-111.099413
2.091500	0.25	-111.094523
2.095667	0.25	-111.088830
2.099833	0.25	-111.095901
2.104000	0.25	-111.082427
2.108167	0.25	-111.078095
2.112333	0.25	-111.078835
2.116500	0.25	-111.079200
2.120667	0.25	-111.063818
2.124833	0.25	-111.054027
2.129000	0.25	-111.054053
2.133167	0.25	-111.048900
2.137333	0.25	-111.038041
2.141500	0.25	-111.040487
