File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.912333	0.25	-113.029018
0.916500	0.25	-113.058072
0.920667	0.25	-113.139908
0.924833	0.25	-113.265118
0.929000	0.25	-113.428736
0.933167	0.25	-113.596789
0.937333	0.25	-113.745184
0.941500	0.25	-113.881231
0.945667	0.25	-113.980513
0.949833	0.25	-114.073359
0.954000	0.25	-114.132358
0.958167	0.25	-114.168035
0.962333	0.25	-114.220088
0.966500	0.25	-114.215589
0.970667	0.25	-114.173731
0.974833	0.25	-114.016957
0.979000	0.25	-113.686592
0.983167	0.25	-113.108470
0.987333	0.25	-112.271592
0.991500	0.25	-111.208348
0.995667	0.25	-109.993162
0.999833	0.25	-108.766104
1.004000	0.25	-107.650371
1.008167	0.25	-106.740962
1.012333	0.25	-106.089364
1.016500	0.25	-105.765976
1.020667	0.25	-105.730889
1.024833	0.25	-105.969579
1.029000	0.25	-106.399134
1.033167	0.25	-106.985332
1.037333	0.25	-107.665751
1.041500	0.25	-108.370183
1.045667	0.25	-109.071585
1.049833	0.25	-109.719087
1.054000	0.25	-110.297190
1.058167	0.25	-110.784775
1.062333	0.25	-111.182964
1.066500	0.25	-111.483457
1.070667	0.25	-111.706108
1.074833	0.25	-111.874674
1.079000	0.25	-112.016955
1.083167	0.25	-112.126394
1.087333	0.25	-112.247139
1.091500	0.25	-112.357997
1.095667	0.25	-112.471166
1.099833	0.25	-112.605614
1.104000	0.25	-112.742906
1.108167	0.25	-112.885525
1.112333	0.25	-113.009618
1.116500	0.25	-113.145541
