File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/161.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_51
Injection Number	42
Position	RD4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	19:52:46
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-114.801077
Signal Max.	5.572491
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.029000	0.25	-104.960691
1.033167	0.25	-105.585241
1.037333	0.25	-106.312512
1.041500	0.25	-107.094425
1.045667	0.25	-107.867521
1.049833	0.25	-108.591989
1.054000	0.25	-109.250285
1.058167	0.25	-109.816862
1.062333	0.25	-110.297594
1.066500	0.25	-110.671484
1.070667	0.25	-110.973162
1.074833	0.25	-111.207312
1.079000	0.25	-111.403638
1.083167	0.25	-111.575936
1.087333	0.25	-111.715859
1.091500	0.25	-111.860248
1.095667	0.25	-112.006977
1.099833	0.25	-112.141194
1.104000	0.25	-112.292060
1.108167	0.25	-112.435355
1.112333	0.25	-112.585142
1.116500	0.25	-112.708829
1.120667	0.25	-112.832566
1.124833	0.25	-112.953861
1.129000	0.25	-113.051476
1.133167	0.25	-113.139145
1.137333	0.25	-113.220066
1.141500	0.25	-113.280281
1.145667	0.25	-113.327597
1.149833	0.25	-113.358357
1.154000	0.25	-113.380153
1.158167	0.25	-113.397678
1.162333	0.25	-113.412142
1.166500	0.25	-113.412335
1.170667	0.25	-113.422624
1.174833	0.25	-113.453386
1.179000	0.25	-113.482082
1.183167	0.25	-113.500985
1.187333	0.25	-113.519858
1.191500	0.25	-113.548411
1.195667	0.25	-113.579608
1.199833	0.25	-113.603851
1.204000	0.25	-113.615002
1.208167	0.25	-113.630537
1.212333	0.25	-113.637815
1.216500	0.25	-113.637750
1.220667	0.25	-113.631502
1.224833	0.25	-113.615397
1.229000	0.25	-113.595451
1.233167	0.25	-113.565979
1.237333	0.25	-113.552643
1.241500	0.25	-113.530442
1.245667	0.25	-113.513480
1.249833	0.25	-113.503071
1.254000	0.25	-113.479706
1.258167	0.25	-113.456824
1.262333	0.25	-113.408549
1.266500	0.25	-113.307615
1.270667	0.25	-113.193350
1.274833	0.25	-113.031502
1.279000	0.25	-112.817987
1.283167	0.25	-112.578027
1.287333	0.25	-112.314953
1.291500	0.25	-112.062868
1.295667	0.25	-111.843930
1.299833	0.25	-111.651178
1.304000	0.25	-111.507696
1.308167	0.25	-111.422179
1.312333	0.25	-111.393447
1.316500	0.25	-111.418959
1.320667	0.25	-111.492648
1.324833	0.25	-111.599606
1.329000	0.25	-111.734219
1.333167	0.25	-111.883415
1.337333	0.25	-112.056702
1.341500	0.25	-112.234674
1.345667	0.25	-112.407282
1.349833	0.25	-112.577366
1.354000	0.25	-112.739413
1.358167	0.25	-112.896825
1.362333	0.25	-113.044245
1.366500	0.25	-113.162550
1.370667	0.25	-113.262217
1.374833	0.25	-113.360350
1.379000	0.25	-113.428336
1.383167	0.25	-113.489299
1.387333	0.25	-113.541238
1.391500	0.25	-113.574281
1.395667	0.25	-113.595215
1.399833	0.25	-113.614020
1.404000	0.25	-113.607632
1.408167	0.25	-113.624863
1.412333	0.25	-113.647727
1.416500	0.25	-113.663934
1.420667	0.25	-113.681253
1.424833	0.25	-113.692273
1.429000	0.25	-113.724058
1.433167	0.25	-113.732900
1.437333	0.25	-113.758166
1.441500	0.25	-113.773881
1.445667	0.25	-113.793745
1.449833	0.25	-113.796956
1.454000	0.25	-113.803781
1.458167	0.25	-113.804504
1.462333	0.25	-113.819355
1.466500	0.25	-113.836197
1.470667	0.25	-113.837949
1.474833	0.25	-113.841209
1.479000	0.25	-113.848112
1.483167	0.25	-113.859407
1.487333	0.25	-113.858028
1.491500	0.25	-113.871961
1.495667	0.25	-113.880772
1.499833	0.25	-113.893862
1.504000	0.25	-113.914835
1.508167	0.25	-113.904625
1.512333	0.25	-113.914012
1.516500	0.25	-113.917362
1.520667	0.25	-113.927359
1.524833	0.25	-113.936814
1.529000	0.25	-113.924426
1.533167	0.25	-113.929743
1.537333	0.25	-113.920574
1.541500	0.25	-113.917648
1.545667	0.25	-113.919630
1.549833	0.25	-113.915739
1.554000	0.25	-113.903974
1.558167	0.25	-113.906664
1.562333	0.25	-113.905762
1.566500	0.25	-113.916304
1.570667	0.25	-113.916290
1.574833	0.25	-113.927820
1.579000	0.25	-113.926261
1.583167	0.25	-113.921206
1.587333	0.25	-113.921778
1.591500	0.25	-113.928528
1.595667	0.25	-113.936836
1.599833	0.25	-113.933611
1.604000	0.25	-113.940802
1.608167	0.25	-113.935537
1.612333	0.25	-113.924563
1.616500	0.25	-113.895075
1.620667	0.25	-113.849471
1.624833	0.25	-113.753340
1.629000	0.25	-113.569455
1.633167	0.25	-113.233511
1.637333	0.25	-112.609192
1.641500	0.25	-111.534919
1.645667	0.25	-109.740222
1.649833	0.25	-106.908075
1.654000	0.25	-102.733918
1.658167	0.25	-96.925434
1.662333	0.25	-89.335460
1.666500	0.25	-79.979681
1.670667	0.25	-69.088797
1.674833	0.25	-57.109004
1.679000	0.25	-44.629502
1.683167	0.25	-32.357558
1.687333	0.25	-20.992089
1.691500	0.25	-11.182174
1.695667	0.25	-3.391237
1.699833	0.25	2.058161
1.704000	0.25	5.036797
1.708167	0.25	5.572491
1.712333	0.25	3.856168
1.716500	0.25	0.178501
1.720667	0.25	-5.090968
1.724833	0.25	-11.581834
1.729000	0.25	-18.953000
1.733167	0.25	-26.796186
1.737333	0.25	-34.829607
1.741500	0.25	-42.811964
1.745667	0.25	-50.524208
1.749833	0.25	-57.834959
1.754000	0.25	-64.614166
1.758167	0.25	-70.829443
1.762333	0.25	-76.449206
1.766500	0.25	-81.465392
1.770667	0.25	-85.916296
1.774833	0.25	-89.822124
1.779000	0.25	-93.236069
1.783167	0.25	-96.198565
1.787333	0.25	-98.768039
1.791500	0.25	-100.966152
1.795667	0.25	-102.845880
1.799833	0.25	-104.454899
1.804000	0.25	-105.836606
1.808167	0.25	-106.988034
1.812333	0.25	-107.967954
1.816500	0.25	-108.799361
1.820667	0.25	-109.486380
1.824833	0.25	-110.057665
1.829000	0.25	-110.544331
1.833167	0.25	-110.939777
1.837333	0.25	-111.281790
1.841500	0.25	-111.565641
1.845667	0.25	-111.805768
1.849833	0.25	-112.001769
1.854000	0.25	-112.179820
1.858167	0.25	-112.327099
1.862333	0.25	-112.457579
1.866500	0.25	-112.565669
1.870667	0.25	-112.675790
1.874833	0.25	-112.770988
1.879000	0.25	-112.854420
1.883167	0.25	-112.939159
1.887333	0.25	-113.009496
1.891500	0.25	-113.076738
1.895667	0.25	-113.147707
1.899833	0.25	-113.215497
1.904000	0.25	-113.272566
1.908167	0.25	-113.314404
1.912333	0.25	-113.370217
1.916500	0.25	-113.413175
1.920667	0.25	-113.468440
1.924833	0.25	-113.501080
1.929000	0.25	-113.537640
1.933167	0.25	-113.586144
1.937333	0.25	-113.616656
1.941500	0.25	-113.658257
1.945667	0.25	-113.676605
1.949833	0.25	-113.698124
1.954000	0.25	-113.728166
1.958167	0.25	-113.747964
1.962333	0.25	-113.771207
1.966500	0.25	-113.778785
1.970667	0.25	-113.804327
1.974833	0.25	-113.814060
1.979000	0.25	-113.829218
1.983167	0.25	-113.837307
1.987333	0.25	-113.848519
1.991500	0.25	-113.862584
1.995667	0.25	-113.873862
1.999833	0.25	-113.865470
2.004000	0.25	-113.886496
2.008167	0.25	-113.885905
2.012333	0.25	-113.893925
2.016500	0.25	-113.900077
2.020667	0.25	-113.910121
2.024833	0.25	-113.910347
2.029000	0.25	-113.922309
2.033167	0.25	-113.928473
2.037333	0.25	-113.938918
2.041500	0.25	-113.955040
2.045667	0.25	-113.953119
2.049833	0.25	-113.960523
2.054000	0.25	-113.965806
2.058167	0.25	-113.973079
2.062333	0.25	-113.970938
2.066500	0.25	-113.981598
2.070667	0.25	-113.978631
2.074833	0.25	-113.989317
2.079000	0.25	-113.996583
2.083167	0.25	-113.993699
2.087333	0.25	-114.000820
2.091500	0.25	-113.994265
2.095667	0.25	-113.990036
2.099833	0.25	-113.996865
2.104000	0.25	-113.999605
2.108167	0.25	-113.993311
2.112333	0.25	-114.001742
2.116500	0.25	-114.001084
2.120667	0.25	-113.977464
2.124833	0.25	-113.978706
2.129000	0.25	-113.981699
2.133167	0.25	-113.971953
2.137333	0.25	-113.970982
2.141500	0.25	-113.965872
2.145667	0.25	-113.962028
2.149833	0.25	-113.954136
2.154000	0.25	-113.953822
2.158167	0.25	-113.949598
2.162333	0.25	-113.947973
2.166500	0.25	-113.947679
2.170667	0.25	-113.945574
2.174833	0.25	-113.942087
2.179000	0.25	-113.945681
2.183167	0.25	-113.941685
2.187333	0.25	-113.950540
2.191500	0.25	-113.945324
2.195667	0.25	-113.940509
2.199833	0.25	-113.954880
2.204000	0.25	-113.958709
2.208167	0.25	-113.964378
2.212333	0.25	-113.961457
2.216500	0.25	-113.963747
2.220667	0.25	-113.975425
2.224833	0.25	-113.973351
2.229000	0.25	-113.981112
2.233167	0.25	-113.990994
2.237333	0.25	-113.983463
2.241500	0.25	-113.994773
2.245667	0.25	-113.990342
2.249833	0.25	-114.003437
2.254000	0.25	-114.004151
2.258167	0.25	-114.001898
2.262333	0.25	-114.010102
2.266500	0.25	-114.003566
2.270667	0.25	-114.001218
2.274833	0.25	-114.003817
2.279000	0.25	-114.009052
2.283167	0.25	-114.005823
2.287333	0.25	-114.003713
2.291500	0.25	-113.998971
2.295667	0.25	-113.998847
2.299833	0.25	-114.002745
2.304000	0.25	-114.006261
2.308167	0.25	-114.004475
2.312333	0.25	-113.997310
2.316500	0.25	-113.992780
2.320667	0.25	-113.993567
2.324833	0.25	-114.001026
2.329000	0.25	-113.991335
2.333167	0.25	-113.988195
2.337333	0.25	-113.991795
2.341500	0.25	-113.993262
2.345667	0.25	-113.981967
2.349833	0.25	-113.986736
2.354000	0.25	-113.984241
2.358167	0.25	-113.975247
2.362333	0.25	-113.978756
2.366500	0.25	-113.981429
2.370667	0.25	-113.970024
2.374833	0.25	-113.973634
2.379000	0.25	-113.976409
2.383167	0.25	-113.973856
2.387333	0.25	-113.977759
2.391500	0.25	-113.974424
2.395667	0.25	-113.961125
2.399833	0.25	-113.959856
2.404000	0.25	-113.951565
2.408167	0.25	-113.932894
2.412333	0.25	-113.917705
2.416500	0.25	-113.887657
2.420667	0.25	-113.856097
2.424833	0.25	-113.824893
2.429000	0.25	-113.771261
2.433167	0.25	-113.728257
2.437333	0.25	-113.667700
2.441500	0.25	-113.610181
2.445667	0.25	-113.545050
2.449833	0.25	-113.479144
2.454000	0.25	-113.417968
2.458167	0.25	-113.361598
2.462333	0.25	-113.312029
2.466500	0.25	-113.285441
2.470667	0.25	-113.267049
2.474833	0.25	-113.248301
2.479000	0.25	-113.261164
2.483167	0.25	-113.261376
2.487333	0.25	-113.290131
2.491500	0.25	-113.328559
2.495667	0.25	-113.366819
2.499833	0.25	-113.408090
2.504000	0.25	-113.457123
2.508167	0.25	-113.499826
2.512333	0.25	-113.534138
2.516500	0.25	-113.578612
2.520667	0.25	-113.629999
2.524833	0.25	-113.657571
2.529000	0.25	-113.684496
2.533167	0.25	-113.730988
2.537333	0.25	-113.746339
2.541500	0.25	-113.765068
2.545667	0.25	-113.792315
2.549833	0.25	-113.792770
2.554000	0.25	-113.802130
2.558167	0.25	-113.815138
2.562333	0.25	-113.828626
2.566500	0.25	-113.827082
2.570667	0.25	-113.840229
2.574833	0.25	-113.843605
2.579000	0.25	-113.841255
2.583167	0.25	-113.845323
2.587333	0.25	-113.854536
2.591500	0.25	-113.849480
2.595667	0.25	-113.850286
2.599833	0.25	-113.841969
2.604000	0.25	-113.847092
2.608167	0.25	-113.865631
2.612333	0.25	-113.848016
2.616500	0.25	-113.852623
2.620667	0.25	-113.852660
2.624833	0.25	-113.850729
2.629000	0.25	-113.832004
2.633167	0.25	-113.832609
2.637333	0.25	-113.814156
2.641500	0.25	-113.795422
2.645667	0.25	-113.760526
2.649833	0.25	-113.721198
2.654000	0.25	-113.677889
2.658167	0.25	-113.609816
2.662333	0.25	-113.542807
2.666500	0.25	-113.446624
2.670667	0.25	-113.344283
2.674833	0.25	-113.229992
2.679000	0.25	-113.101839
2.683167	0.25	-112.953230
2.687333	0.25	-112.801281
2.691500	0.25	-112.653596
2.695667	0.25	-112.499035
2.699833	0.25	-112.349502
2.704000	0.25	-112.220496
2.708167	0.25	-112.101033
2.712333	0.25	-112.008998
2.716500	0.25	-111.939790
2.720667	0.25	-111.895685
2.724833	0.25	-111.882745
2.729000	0.25	-111.898009
2.733167	0.25	-111.934392
2.737333	0.25	-112.004765
2.741500	0.25	-112.086033
2.745667	0.25	-112.185749
2.749833	0.25	-112.304397
2.754000	0.25	-112.424319
2.758167	0.25	-112.544030
2.762333	0.25	-112.676401
2.766500	0.25	-112.800843
2.770667	0.25	-112.929076
2.774833	0.25	-113.038442
2.779000	0.25	-113.152223
2.783167	0.25	-113.242262
2.787333	0.25	-113.336115
2.791500	0.25	-113.410750
2.795667	0.25	-113.483856
2.799833	0.25	-113.537067
2.804000	0.25	-113.572289
2.808167	0.25	-113.618836
2.812333	0.25	-113.647398
2.816500	0.25	-113.664309
2.820667	0.25	-113.667803
2.824833	0.25	-113.666742
2.829000	0.25	-113.641102
2.833167	0.25	-113.618476
2.837333	0.25	-113.569851
2.841500	0.25	-113.506374
2.845667	0.25	-113.407348
2.849833	0.25	-113.287881
2.854000	0.25	-113.136491
2.858167	0.25	-112.952046
2.862333	0.25	-112.708434
2.866500	0.25	-112.429276
2.870667	0.25	-112.099978
2.874833	0.25	-111.736531
2.879000	0.25	-111.304979
2.883167	0.25	-110.838125
2.887333	0.25	-110.330415
2.891500	0.25	-109.781060
2.895667	0.25	-109.219089
2.899833	0.25	-108.640481
2.904000	0.25	-108.066803
2.908167	0.25	-107.509109
2.912333	0.25	-106.986923
2.916500	0.25	-106.513561
2.920667	0.25	-106.085201
2.924833	0.25	-105.743553
2.929000	0.25	-105.482161
2.933167	0.25	-105.304435
2.937333	0.25	-105.228116
2.941500	0.25	-105.246172
2.945667	0.25	-105.333073
2.949833	0.25	-105.514504
2.954000	0.25	-105.772615
2.958167	0.25	-106.092135
2.962333	0.25	-106.469310
2.966500	0.25	-106.888827
2.970667	0.25	-107.330704
2.974833	0.25	-107.799323
2.979000	0.25	-108.250674
2.983167	0.25	-108.717216
2.987333	0.25	-109.168270
2.991500	0.25	-109.598800
2.995667	0.25	-109.999382
2.999833	0.25	-110.372199
3.004000	0.25	-110.710768
3.008167	0.25	-111.017174
3.012333	0.25	-111.290160
3.016500	0.25	-111.533743
3.020667	0.25	-111.727627
3.024833	0.25	-111.918014
3.029000	0.25	-112.071941
3.033167	0.25	-112.210887
3.037333	0.25	-112.303673
3.041500	0.25	-112.394694
3.045667	0.25	-112.468854
3.049833	0.25	-112.532721
3.054000	0.25	-112.577978
3.058167	0.25	-112.626108
3.062333	0.25	-112.671667
3.066500	0.25	-112.709202
3.070667	0.25	-112.747180
3.074833	0.25	-112.796933
3.079000	0.25	-112.836855
3.083167	0.25	-112.888611
3.087333	0.25	-112.935598
3.091500	0.25	-112.984024
3.095667	0.25	-113.041845
3.099833	0.25	-113.089092
3.104000	0.25	-113.146290
3.108167	0.25	-113.200384
3.112333	0.25	-113.268474
3.116500	0.25	-113.318540
3.120667	0.25	-113.371765
3.124833	0.25	-113.424922
3.129000	0.25	-113.483286
3.133167	0.25	-113.531849
3.137333	0.25	-113.568336
3.141500	0.25	-113.616340
3.145667	0.25	-113.658906
3.149833	0.25	-113.694840
3.154000	0.25	-113.730070
3.158167	0.25	-113.758471
3.162333	0.25	-113.783241
3.166500	0.25	-113.809270
3.170667	0.25	-113.835884
3.174833	0.25	-113.855165
3.179000	0.25	-113.861660
3.183167	0.25	-113.884621
3.187333	0.25	-113.912133
3.191500	0.25	-113.922586
3.195667	0.25	-113.920990
3.199833	0.25	-113.940382
3.204000	0.25	-113.954326
3.208167	0.25	-113.962645
3.212333	0.25	-113.965652
3.216500	0.25	-113.975449
3.220667	0.25	-113.980184
3.224833	0.25	-113.987396
3.229000	0.25	-113.986828
3.233167	0.25	-113.993183
3.237333	0.25	-113.990828
3.241500	0.25	-113.985484
3.245667	0.25	-113.991026
3.249833	0.25	-114.002891
3.254000	0.25	-114.000952
3.258167	0.25	-114.005390
3.262333	0.25	-113.995677
3.266500	0.25	-113.998085
3.270667	0.25	-113.997794
3.274833	0.25	-113.990120
3.279000	0.25	-113.995284
3.283167	0.25	-114.001773
3.287333	0.25	-114.004573
3.291500	0.25	-114.001703
3.295667	0.25	-114.002720
3.299833	0.25	-113.989640
3.304000	0.25	-113.992655
3.308167	0.25	-114.003113
3.312333	0.25	-114.000123
3.316500	0.25	-114.001547
3.320667	0.25	-114.002881
3.324833	0.25	-113.998749
3.329000	0.25	-114.002189
3.333167	0.25	-113.997347
3.337333	0.25	-113.998812
3.341500	0.25	-114.006475
3.345667	0.25	-114.002523
3.349833	0.25	-114.002728
3.354000	0.25	-114.004599
3.358167	0.25	-114.007723
3.362333	0.25	-114.012604
3.366500	0.25	-114.001863
3.370667	0.25	-114.011882
3.374833	0.25	-114.017035
3.379000	0.25	-114.017936
3.383167	0.25	-114.020421
3.387333	0.25	-114.021128
3.391500	0.25	-114.028481
3.395667	0.25	-114.029271
3.399833	0.25	-114.026130
3.404000	0.25	-114.030975
3.408167	0.25	-114.033418
3.412333	0.25	-114.024622
3.416500	0.25	-114.035880
3.420667	0.25	-114.037334
3.424833	0.25	-114.041931
3.429000	0.25	-114.043913
3.433167	0.25	-114.044743
