File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.141500	0.25	-111.224316
1.145667	0.25	-111.273412
1.149833	0.25	-111.297961
1.154000	0.25	-111.310624
1.158167	0.25	-111.321300
1.162333	0.25	-111.328230
1.166500	0.25	-111.341907
1.170667	0.25	-111.353308
1.174833	0.25	-111.364854
1.179000	0.25	-111.390280
1.183167	0.25	-111.403782
1.187333	0.25	-111.440410
1.191500	0.25	-111.454263
1.195667	0.25	-111.493122
1.199833	0.25	-111.516566
1.204000	0.25	-111.528072
1.208167	0.25	-111.540902
1.212333	0.25	-111.553125
1.216500	0.25	-111.551223
1.220667	0.25	-111.548109
1.224833	0.25	-111.532758
1.229000	0.25	-111.516576
1.233167	0.25	-111.501944
1.237333	0.25	-111.481479
1.241500	0.25	-111.480340
1.245667	0.25	-111.464157
1.249833	0.25	-111.456527
1.254000	0.25	-111.449850
1.258167	0.25	-111.409955
1.262333	0.25	-111.371841
1.266500	0.25	-111.272087
1.270667	0.25	-111.139341
1.274833	0.25	-110.963847
1.279000	0.25	-110.748136
1.283167	0.25	-110.499822
1.287333	0.25	-110.238731
1.291500	0.25	-109.982973
1.295667	0.25	-109.758757
1.299833	0.25	-109.582973
1.304000	0.25	-109.440476
1.308167	0.25	-109.359001
1.312333	0.25	-109.334433
1.316500	0.25	-109.359135
1.320667	0.25	-109.426127
1.324833	0.25	-109.532469
1.329000	0.25	-109.670636
1.333167	0.25	-109.825755
1.337333	0.25	-109.997003
1.341500	0.25	-110.170541
1.345667	0.25	-110.346690
1.349833	0.25	-110.520015
1.354000	0.25	-110.693092
1.358167	0.25	-110.846611
1.362333	0.25	-110.985835
